idGame,slugTeam,namePlayer,groupStartPosition,idTeam,idPlayer,fgm,fga,pctFG,fg3m,fg3a,pctFG3,pctFT,fg2m,fg2a,pctFG2,cityTeam,teamName,isStarter,minExact,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,plusminus,HEIGHT,WEIGHT
22200481,DET,Cory Joseph,NA,1610612765,202709,1,3,0.333,0,2,0,0,1,1,1,Detroit,Cory,TRUE,5.933333333333334,0,0,0,1,1,2,0,0,0,1,2,1,75,200
22200481,DET,Marvin Bagley III,NA,1610612765,1628963,2,5,0.4,0,2,0,0,2,3,0.6666666666666666,Detroit,Marvin,TRUE,19.816666666666663,0,0,2,4,6,0,0,1,1,1,4,-19,82,235
22200481,DET,Hamidou Diallo,NA,1610612765,1628977,2,4,0.5,0,0,0,0.5,2,4,0.5,Detroit,Hamidou,TRUE,9.683333333333334,2,4,1,3,4,1,3,0,1,1,6,-1,77,202
22200481,ATL,De'Andre Hunter,F,1610612737,1629631,4,10,0.4,1,3,0.3333333333333333,0,3,7,0.42857142857142855,Atlanta,De'Andre,TRUE,26.683333333333337,0,0,0,5,5,1,1,0,0,4,9,10,80,221
22200481,ATL,John Collins,F,1610612737,1628381,4,10,0.4,0,1,0,0,4,9,0.4444444444444444,Atlanta,John,TRUE,29.166666666666668,0,0,3,9,12,3,0,3,0,0,8,23,81,226
22200481,ATL,Clint Capela,C,1610612737,203991,4,5,0.8,0,0,0,1,4,5,0.8,Atlanta,Clint,TRUE,24.65,2,2,3,7,10,0,1,2,3,3,10,13,82,256
22200481,ATL,Dejounte Murray,G,1610612737,1627749,10,18,0.556,3,8,0.375,0.75,7,10,0.7,Atlanta,Dejounte,TRUE,36.583333333333336,3,4,0,3,3,5,4,0,1,2,26,19,77,180
22200481,ATL,Trae Young,G,1610612737,1629027,9,15,0.6,3,7,0.42857142857142855,0.625,6,8,0.75,Atlanta,Trae,TRUE,31.083333333333332,5,8,0,2,2,13,2,0,1,0,26,17,73,164
22200481,ATL,Bogdan Bogdanovic,NA,1610612737,203992,7,18,0.389,3,11,0.2727272727272727,1,4,7,0.5714285714285714,Atlanta,Bogdan,TRUE,33.916666666666664,2,2,0,1,1,2,1,1,0,2,19,18,77,225
22200481,ATL,Onyeka Okongwu,NA,1610612737,1630168,4,5,0.8,0,0,0,1,4,5,0.8,Atlanta,Onyeka,TRUE,20.733333333333334,4,4,2,7,9,2,0,2,0,5,12,12,81,240
22200481,ATL,AJ Griffin,NA,1610612737,1631100,3,6,0.5,0,1,0,1,3,5,0.6,Atlanta,AJ,TRUE,20.733333333333334,2,2,0,4,4,2,1,0,1,2,8,12,78,220
22200481,ATL,Justin Holiday,NA,1610612737,203200,1,1,1,1,1,1,0,0,0,0,Atlanta,Justin,TRUE,3.3666666666666667,0,0,0,1,1,0,0,0,0,0,3,1,78,180
22200481,ATL,Frank Kaminsky,NA,1610612737,1626163,0,0,0,0,0,0,0,0,0,0,Atlanta,Frank,TRUE,2.6166666666666667,0,0,0,0,0,1,0,0,1,0,0,0,84,240
