Game_ID,TEAM_ID_away,TEAM_ID_home,HOME_TEAM_WINS,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTT_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,MIN_home,FTM_home,FTA_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,AWAY_TEAM_WINS,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTT_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,MIN_away,FTM_away,FTA_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,OREB,Total,Spread,AVG_HEIGHT_home,AVG_WEIGHT_home,STARTERS_PM_home,AVG_HEIGHT_away,AVG_WEIGHT_away,STARTERS_PM_away,BULLY_BALL_home,BULLY_BALL_away
21200023,1610612758,1610612750,1,32,87,0.368,2,17,0.117647059,0.722,30,70,0.428571429,240,26,36,17,36,17,4,10,11,17,92,0,32,89,0.36,3,16,0.1875,0.813,29,73,0.397260274,240,13,16,11,32,17,7,4,12,34,80,28,172,12,78.6,223.4,-17,77.75,218.75,-32,0.09784039684096524,0.0762812217832957
21200208,1610612754,1610612747,0,24,76,0.316,6,28,0.214285714,0.535,18,48,0.375,240,23,43,15,41,13,10,5,21,25,77,1,29,79,0.367,4,19,0.210526316,0.63,25,60,0.416666667,240,17,27,10,40,17,9,6,17,32,79,25,156,-2,79,228.55555555555554,-38,79,223.66666666666666,43,0.12267942362750812,0.1098968397291195
21401156,1610612744,1610612740,1,36,83,0.434,9,19,0.473684211,0.733,27,64,0.421875,240,22,30,8,37,25,8,8,12,13,103,0,42,95,0.442,9,22,0.409090909,0.7,33,73,0.452054795,240,7,10,11,39,25,6,12,12,21,100,19,203,3,79.3,226.1,8,78.9,222.1,-8,0.14912431884124483,0.13012900879148107
21301070,1610612763,1610612762,0,32,69,0.464,5,16,0.3125,0.692,27,53,0.509433962,240,18,26,6,29,22,9,4,13,14,87,1,36,79,0.456,4,9,0.444444444,0.938,32,70,0.457142857,240,15,16,10,31,22,6,2,10,20,91,16,178,-4,78.75,223.125,-10,79.45454545454545,224,21,0.12613916309751483,0.14780794572770786
21400272,1610612753,1610612746,1,42,78,0.538,12,31,0.387096774,0.72,30,47,0.638297872,240,18,25,6,38,32,11,6,18,17,114,0,33,79,0.418,7,20,0.35,0.52,26,59,0.440677966,240,13,25,6,28,21,11,2,17,24,86,12,200,28,78.76923076923077,221.92307692307693,135,78.16666666666667,220.33333333333334,-100,0.12034643241180222,0.11071914612110875
21400637,1610612759,1610612741,1,36,76,0.474,6,19,0.315789474,0.813,30,57,0.526315789,240,26,32,8,38,19,7,8,10,16,104,0,30,81,0.37,6,21,0.285714286,0.833,24,60,0.4,240,15,18,9,30,17,4,5,13,24,81,17,185,23,78.58333333333333,220.16666666666666,100,79.07692307692308,225.15384615384616,-78,0.1088563298015016,0.1482371489586601
21400277,1610612760,1610612755,0,32,84,0.381,8,28,0.285714286,0.633,24,56,0.428571429,240,19,30,19,25,25,13,2,19,24,91,1,35,71,0.493,9,23,0.391304348,0.774,26,48,0.541666667,240,24,31,6,34,27,7,8,17,24,103,25,194,-12,79.9,217.2,-50,79.15384615384616,223.69230769230768,50,0.08758968040110873,0.1117476217826278
21201027,1610612763,1610612740,1,36,76,0.474,4,14,0.285714286,0.778,32,62,0.516129032,240,14,18,16,33,19,4,9,17,22,90,0,30,73,0.411,3,10,0.3,0.8,27,63,0.428571429,240,20,25,11,22,14,11,3,11,20,83,27,173,7,78.8,223.4,2,79.6923076923077,225.07692307692307,19,0.1282430119659228,0.1567775022884177
21201061,1610612763,1610612752,1,38,74,0.514,13,31,0.419354839,0.864,25,43,0.581395349,240,19,22,7,24,18,9,2,12,25,108,0,33,70,0.471,6,21,0.285714286,0.829,27,49,0.551020408,240,29,35,10,24,14,6,2,17,24,101,17,209,7,78.54545454545455,219.45454545454547,19,79.11111111111111,221.11111111111111,-22,0.08173197934999968,0.10089069475796336
21400399,1610612749,1610612746,1,37,81,0.457,12,26,0.461538462,0.741,25,55,0.454545455,240,20,27,11,30,29,10,4,12,18,106,0,43,81,0.531,8,24,0.333333333,0.533,35,57,0.614035088,240,8,15,10,36,29,6,1,20,26,102,21,208,4,78.2,221,26,79,225.1,-27,0.08398472508795084,0.11564796839729108
21300004,1610612751,1610612739,1,35,84,0.417,5,15,0.333333333,0.676,30,69,0.434782609,240,23,34,16,32,21,7,3,14,20,98,0,33,82,0.402,9,24,0.375,0.792,24,58,0.413793103,240,19,24,9,28,24,8,8,15,27,94,25,192,4,79.36363636363636,233.45454545454547,-4,79.5,229.9,-4,0.14628131632925784,0.14074588036117378
21300542,1610612747,1610612746,1,45,92,0.489,7,23,0.304347826,0.743,38,69,0.550724638,240,26,35,13,43,24,16,13,10,23,123,0,29,84,0.345,4,16,0.25,0.893,25,68,0.367647059,240,25,28,11,36,18,2,1,21,26,87,24,210,36,78.3076923076923,221.76923076923077,171,80.77777777777777,232.22222222222223,-120,0.11300978336452132,0.20975698712029955
21200399,1610612755,1610612751,1,33,74,0.446,8,22,0.363636364,0.7,25,52,0.480769231,240,21,30,11,32,18,7,3,9,11,95,0,38,88,0.432,8,18,0.444444444,0.8,30,70,0.428571429,240,8,10,14,35,19,4,2,9,22,92,25,187,3,79.22222222222223,228.55555555555554,16,79.66666666666667,224.66666666666666,-15,0.12521960294786774,0.12151647855530477
21201041,1610612766,1610612748,1,38,76,0.5,13,30,0.433333333,0.87,25,46,0.543478261,240,20,23,4,44,28,9,10,10,16,109,0,30,89,0.337,5,25,0.2,0.667,25,64,0.390625,240,12,18,14,31,9,8,2,13,20,77,18,186,32,79.53846153846153,224.69230769230768,14,77.125,219.5,-62,0.1454038990276414,0.09177252945971602
21301154,1610612763,1610612759,1,43,77,0.558,9,22,0.409090909,0.944,34,55,0.618181818,240,17,18,6,34,27,7,3,16,16,112,0,38,86,0.442,5,14,0.357142857,0.647,33,72,0.458333333,240,11,17,13,24,22,8,3,15,19,92,19,204,20,78.84615384615384,221.53846153846155,51,78.92307692307692,220.46153846153845,-96,0.09324996144067302,0.09617520669988104
21300850,1610612757,1610612743,0,37,103,0.359,4,20,0.2,0.654,33,83,0.397590361,240,17,26,27,37,19,7,5,15,25,95,1,28,76,0.368,12,31,0.387096774,0.842,16,45,0.355555556,240,32,38,7,34,17,8,12,13,21,100,34,195,-5,79.66666666666667,223.11111111111111,-65,78.11111111111111,215.22222222222223,59,0.1086071759633587,0.0662976423375973
21301172,1610612758,1610612757,1,38,75,0.507,7,23,0.304347826,0.773,31,52,0.596153846,240,17,22,5,38,26,4,4,18,19,100,0,39,91,0.429,5,11,0.454545455,0.727,34,80,0.425,240,16,22,14,31,19,10,2,12,19,99,19,199,1,79,222,-11,79,225.77777777777777,-25,0.1240181700358986,0.15029901124502418
21300921,1610612762,1610612752,1,42,85,0.494,12,31,0.387096774,0.667,30,54,0.555555556,240,12,18,8,27,24,9,7,7,19,108,0,30,73,0.411,6,27,0.222222222,0.75,24,46,0.52173913,240,15,20,12,35,13,4,3,19,16,81,20,189,27,78.76923076923077,222.46153846153845,105,78.6923076923077,221,-82,0.12306477730846851,0.12157163199603764
21200502,1610612763,1610612756,0,31,79,0.392,5,14,0.357142857,0.778,26,65,0.4,240,14,18,11,21,18,10,5,14,21,81,1,37,69,0.536,2,8,0.25,0.8,35,61,0.573770492,240,16,20,7,35,22,12,4,20,19,92,18,173,-11,78.5,225.3,-35,78.75,224.41666666666666,60,0.13350675995914035,0.13974614211862307
21300431,1610612764,1610612750,1,42,85,0.494,5,15,0.333333333,0.816,37,70,0.528571429,240,31,38,14,30,20,10,2,5,12,120,0,38,83,0.458,8,21,0.380952381,0.824,30,62,0.483870968,240,14,17,9,26,18,3,1,13,25,98,23,218,22,78.46153846153847,218.84615384615384,54,79.5,218.16666666666666,-53,0.07842354723380765,0.09336890519187357
21400708,1610612755,1610612737,1,34,78,0.436,10,28,0.357142857,0.722,24,50,0.48,240,13,18,8,36,20,6,5,12,16,91,0,31,81,0.383,14,35,0.4,0.6,17,46,0.369565217,240,9,15,10,34,21,7,4,15,26,85,18,176,6,78.2,221.7,16,79.36363636363636,213.8181818181818,-23,0.11113214578755676,0.0943812704923064
